,RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfDependents
0,1.127486969907237,0.29052527723450966,0.3617588340462171,-0.21587722303940488,-0.14733384026661753,0.34506331734778345,,0.46251559469097947,0.05040463775667624
1,1.127486969907237,0.29052527723450966,-0.12011172997450681,0.4670090429622326,-0.06491208270048762,,,,0.04984336383122043
2,0.2628662976317028,0.29052527723450966,-0.12011172997450681,0.4670090429622326,0.47604037671595434,-0.36495646519408864,-0.21717989624555153,,
3,-1.1872817938025866,0.5893845885869681,-0.12011172997450681,0.4670090429622326,-0.06491208270048762,,,,
5,-1.1872817938025866,-1.1146271265931456,-0.32771553224274563,0.4670090429622326,0.47604037671595434,,,-0.17165784680474644,0.04984336383122043
6,-0.47420867378156056,-0.4531781107977034,-0.0035171769819213826,0.4670090429622326,-0.24364903233164414,,,0.46251559469097947,
7,1.127486969907237,0.29052527723450966,-0.12011172997450681,0.4670090429622326,-0.24364903233164414,,,,
8,-1.1872817938025866,0.5893845885869681,-0.0035171769819213826,-1.34810384668803,0.47604037671595434,,,,
9,-1.1872817938025866,-0.4531781107977034,0.3617588340462171,-0.21587722303940488,-0.24364903233164414,,,0.46251559469097947,0.05040463775667624
10,0.2628662976317028,0.5893845885869681,-0.32771553224274563,0.4670090429622326,-0.06491208270048762,,,,
11,-1.1872817938025866,0.0873908677042179,0.3617588340462171,-0.21587722303940488,-0.06491208270048762,,,0.09427898769820224,0.05040463775667624
12,-1.1872817938025866,0.29052527723450966,-0.32771553224274563,-0.21587722303940488,-0.14733384026661753,,,0.09427898769820224,0.05040463775667624
13,1.127486969907237,0.29052527723450966,-0.32771553224274563,-0.21587722303940488,-0.24364903233164414,0.9119438050900276,0.5637091215264226,-0.17165784680474644,0.05040463775667624
14,-1.1872817938025866,-1.1146271265931456,-0.0035171769819213826,-1.34810384668803,-0.06491208270048762,,,-0.17165784680474644,
15,0.2628662976317028,-0.4531781107977034,-0.12011172997450681,-0.21587722303940488,-0.06491208270048762,,,-0.17165784680474644,0.05040463775667624
16,-1.1872817938025866,-1.1146271265931456,-0.0035171769819213826,0.4670090429622326,-0.018236662884909594,,,0.09427898769820224,
17,-1.1872817938025866,0.0873908677042179,-0.12011172997450681,-0.21587722303940488,-0.06491208270048762,,,,
18,-1.1872817938025866,0.29052527723450966,0.3617588340462171,0.4670090429622326,-0.06491208270048762,,,-0.17165784680474644,0.05040463775667624
19,0.2628662976317028,0.5893845885869681,-0.12011172997450681,0.4670090429622326,0.47604037671595434,,,,
20,-1.1872817938025866,0.29052527723450966,0.3617588340462171,-0.21587722303940488,-0.018236662884909594,,,0.09427898769820224,
21,-1.1872817938025866,0.29052527723450966,0.3617588340462171,0.4670090429622326,-0.06491208270048762,,,-0.17165784680474644,0.05040463775667624
22,1.127486969907237,0.29052527723450966,-0.32771553224274563,0.4670090429622326,-0.06491208270048762,,,,
23,-1.1872817938025866,0.5893845885869681,-0.12011172997450681,-0.21587722303940488,-0.06491208270048762,,,,
