id,num_sold
136950,45.40885
136951,50.41122
136952,6.871476
136953,46.361713
136954,39.923256
136955,66.78304
136956,69.473434
136957,18.603218
136958,71.80303
136959,59.714275
136960,283.40692
136961,279.15833
136962,62.24096
136963,243.19682
136964,200.21176
136965,220.6559
136966,222.26678
136967,53.038364
136968,223.88
136969,183.64453
136970,338.06747
136971,337.3664
136972,82.85963
136973,293.73093
136974,252.35739
136975,1315.5385
136976,1258.7397
136977,237.9504
136978,1136.1198
136979,958.1176
136980,148.15134
136981,150.95708
136982,30.743322
136983,119.7216
136984,101.84128
136985,206.09921
136986,206.59296
136987,60.47246
136988,174.32784
136989,152.72064
136990,683.83435
136991,659.8729
136992,173.89601
136993,699.5644
136994,558.33057
136995,114.46386
136996,116.67212
136997,-2.0718982
136998,112.866745
136999,84.27463
137000,174.50523
137001,174.94977
137002,10.491272
137003,165.51646
137004,130.23145
137005,691.6484
137006,662.39856
137007,82.92924
137008,640.05194
137009,501.15814
137010,125.83401
137011,130.9228
137012,25.45915
137013,113.60771
137014,95.99997
137015,182.86705
137016,185.64386
137017,46.104813
137018,172.13826
137019,145.7927
137020,690.58954
137021,668.91113
137022,155.71202
137023,644.1529
137024,529.3971
137025,45.40885
137026,50.41122
137027,6.871476
137028,46.361713
137029,39.923256
137030,66.78304
137031,69.473434
137032,18.603218
137033,71.80303
137034,59.714275
137035,283.40692
137036,279.15833
137037,62.24096
137038,243.19682
137039,200.21176
137040,220.6559
137041,222.26678
137042,53.038364
137043,223.88
137044,183.64453
137045,338.06747
137046,337.3664
137047,82.85963
137048,293.73093
137049,252.35739
137050,1315.5385
137051,1258.7397
137052,237.9504
137053,1136.1198
137054,958.1176
137055,148.15134
137056,150.95708
137057,30.743322
137058,119.7216
137059,101.84128
137060,206.09921
137061,206.59296
137062,60.47246
137063,174.32784
137064,152.72064
137065,683.83435
137066,659.8729
137067,173.89601
137068,699.5644
137069,558.33057
137070,114.46386
137071,116.67212
137072,-2.0718982
137073,112.866745
137074,84.27463
137075,174.50523
137076,174.94977
137077,10.491272
137078,165.51646
137079,130.23145
137080,691.6484
137081,662.39856
137082,82.92924
137083,640.05194
137084,501.15814
137085,125.83401
137086,130.9228
137087,25.45915
137088,113.60771
137089,95.99997
137090,182.86705
137091,185.64386
137092,46.104813
137093,172.13826
137094,145.7927
137095,690.58954
137096,668.91113
137097,155.71202
137098,644.1529
137099,529.3971
137100,45.40885
137101,50.41122
137102,6.871476
137103,46.361713
137104,39.923256
137105,66.78304
137106,69.473434
137107,18.603218
137108,71.80303
137109,59.714275
137110,283.40692
137111,279.15833
137112,62.24096
