Id,SalePrice
1461,124109.746
1462,154563.754
1463,181722.509
1464,184537.425
1465,200140.946
1466,183154.788
1467,168734.128
1468,174631.086
1469,179625.285
1470,122996.758
1471,200003.838
1472,90219.5
1473,97522.03
1474,152329.762
1475,145368.491
1476,378286.436
1477,251139.693
1478,308929.239
1479,282019.994
1480,467406.362
1481,307436.56
1482,208375.236
1483,175638.833
1484,178039.328
1485,172525.317
1486,193668.781
1487,332009.464
1488,250969.818
1489,209951.203
1490,190424.262
1491,197875.623
1492,92369.609
1493,177428.692
1494,296812.024
1495,295476.061
1496,222391.548
1497,199431.084
1498,156572.964
1499,155362.291
1500,156219.908
1501,173197.595
1502,163431.033
1503,306716.192
1504,232405.448
1505,216629.335
1506,182309.641
1507,218080.74
1508,194625.655
1509,164486.699
1510,152722.654
1511,152781.121
1512,164079.674
1513,151095.672
1514,164018.487
1515,173919.443
1516,161671.943
1517,150397.263
1518,131791.324
1519,220341.019
1520,139912.405
1521,148177.113
1522,164760.281
1523,115108.993
1524,118015.311
1525,126118.95
1526,124434.428
1527,100972.405
1528,127156.113
1529,143754.205
1530,160936.349
1531,128376.865
1532,105544.085
1533,140838.993
1534,114646.279
1535,158259.669
1536,118475.528
1537,79203.296
1538,184732.67
1539,249332.403
1540,121533.132
1541,151173.142
1542,153167.706
1543,214699.991
1544,84744.556
1545,99614.83
1546,122824.816
1547,139689.422
1548,134690.218
1549,110006.472
1550,151449.475
1551,119939.871
1552,148915.756
1553,140226.778
1554,113820.701
1555,184879.364
1556,107901.443
1557,127504.605
1558,93700.918
1559,124395.992
1560,150778.568
1561,155370.22
1562,126918.876
1563,124771.488
1564,163209.665
1565,157162.838
1566,217250.611
1567,84778.633
1568,217981.533
1569,154155.371
1570,125731.513
1571,132336.882
1572,151233.092
1573,238473.077
1574,139731.899
1575,214122.41
1576,202581.534
1577,202860.029
1578,149001.678
1579,141767.69
1580,192229.883
1581,138789.794
1582,130935.26
1583,337358.158
1584,236249.192
1585,140043.37
1586,73438.222
1587,100825.048
1588,153174.364
1589,100840.845
1590,132883.361
1591,104688.868
1592,123103.205
1593,119292.793
1594,135049.122
1595,136524.107
1596,233356.177
1597,169915.341
1598,188887.36
1599,213686.546
1600,195091.368
1601,76004.436
1602,111116.921
1603,88583.334
1604,284168.519
1605,247586.434
1606,169180.032
1607,160640.916
1608,218085.319
1609,200233.784
1610,154266.781
1611,145445.238
1612,160655.426
1613,163774.797
1614,121950.417
1615,84025.437
1616,81645.304
1617,86167.804
1618,127966.925
1619,135943.585
1620,156861.746
1621,143099.802
1622,151774.487
1623,300463.295
1624,204721.973
1625,128322.985
1626,171747.849
1627,187647.398
1628,277058.995
1629,173967.687
1630,382661.654
1631,227117.334
1632,261946.656
1633,168777.412
1634,180646.527
